10.18.98.188,CT18CAM001 SAIDA EMERGENCIA
10.18.98.189,CT18CAM002 VIP
10.18.98.190,CT18CAM003 CT18 FLV     
10.18.98.191,CT18CAM004 CT18 CORREDOR 02    
10.18.98.192,CT18CAM005 CAÇAMBA
10.18.98.193,CT18CAM006 DOCAS RM
10.18.98.194,CT18CAM007 PATIO DOCAS RM
10.18.98.195,CT18CAM008 RM EXTERNO
10.18.98.196,CT18CAM009 CAIXA DAGUA
10.18.98.197,CT18CAM010 ESTACIONAMENTO COBERTO ENT LOJA
10.18.98.203,CT18CAM011 ENTRADA VEICULOS DICICO
10.18.98.205,CT18CAM012 
10.18.98.206,CT18CAM013 ENTRADA VEICULOS TRASEIRA
10.18.98.207,CT18CAM014 CT18 RM CORREDOR LOJA   
10.18.98.208,CT18CAM015 ENTRADA RM TRASEIRA
10.18.98.210,CT18CAM016 CT18 PATIO RM 
10.18.98.211,CT18CAM017 ENTRADA AUTOZONE TRASEIRA
10.18.98.212,CT18CAM018 ENTRADA AUTOZONE FRONTAL
10.18.98.214,CT18CAM019 FUNDO LOJA
10.18.98.215,CT18CAM020 SAIDA VEICULOS TRASEIRA
10.18.98.216,CT18CAM021 ENTRADA VEICULOS FRONTAL
10.18.98.217,CT18CAM022 CT18 ACESSO AO PATIO DO RM 
10.18.98.218,CT18CAM023 CT18 LANCHONETE 01
10.18.98.219,CT18CAM024 CT18 LANCHONETE 02
10.18.98.221,CT18CAM025 ESTACIONAMENTO COBERTO LADO DIREITO
10.18.98.222,CT18CAM026 CT18 SELF CHECKOUT 01     
10.18.98.223,CT18CAM027 CT18 SELFCHECKOUT 02     
10.18.98.224,CT18CAM028 CT18 SELFCHECKOUT 03     
10.18.98.225,CT18CAM029 CT18 SELFCHECKOUT 04     
10.18.98.226,CT18CAM030 CT18 LANCHONETE 03
10.18.98.227,CT18CAM031 ESTACIONAMENTO COBERTO LOJA
10.18.98.228,CT18CAM032 ESTACIONAMENTO DESCOBERTO SODIMAC
10.18.98.229,CT18CAM033 ESTACIONAMENTO COBERTO FUNDO
10.18.98.230,CT18CAM034 ESTACIONAMENTO DESCOBERTO POSTO
10.18.98.231,CT18CAM035 BICICLETARIO
10.18.98.232,CT18CAM036 ESTACIONAMENTO COBERTURA ESQUERDA
10.18.98.233,CT18CAM037 ESTACIONAMENTO COBERTO DIR POSTO
10.18.98.234,CT18CAM038 ESTACIONAMENTO DESCOBERTO AUTOZONE
10.18.98.235,CT18CAM039 CT18 ENT CLIENTES     
10.18.98.236,CT18CAM040 CT18 CORREDOR FRENTE DE LOJA     
10.18.98.237,CT18CAM041 CT18 CORREDOR 08     
10.18.98.238,CT18CAM042 CT18 CORREDOR 01     
10.18.98.239,CT18CAM043 CT18 CORREDOR 03     
10.18.98.240,CT18CAM044 CT18 CORREDOR 04     
10.18.98.241,CT18CAM045 CT18 CORREDOR 05  
10.18.98.242,CT18CAM046 CT18 CORREDOR 06     
10.18.98.243,CT18CAM047 CT18 CORREDOR 07     
10.18.98.244,CT18CAM048 CT18 PRATOS COPOS     
10.18.98.245,CT18CAM049 CT18 CORREDOR BEBIDAS     
10.18.98.246,CT18CAM050 CT18 CX 24H  
10.18.98.247,CT18CAM051 CT18 CAIXA CENTRAL     
10.18.98.248,CT18CAM052 CT18 RECEBIMENTO     
10.18.98.249,CT18CAM053 CT18 CORREDOR LATERAL     
10.18.98.250,CT18CAM054 CT18 RM CENTRAL     
10.18.98.251,CT18CAM055 CT18 RM BALANÇA
10.18.98.252,CT18CAM056 CT18 RM CORREDOR BEBIDAS   
10.18.98.253,CT18CAM057 CT18 RM CORREDOR BEBEIDAS 02 
10.18.98.254,CT18CAM058 CT18 SALAME  
10.18.98.209,CT18CAM059 VIP
10.18.98.213,CT18CAM060 VIP
10.18.98.21,CT18DVR001 PC
10.18.98.22,CT18DVR002 PC
10.18.98.23,CT18DVR003 PC
10.18.98.24,CT18DVR004 PC
10.18.98.31,CT18DVR005 TESOURARIA
10.18.98.32,CT18DVR006 POSTO CT24
10.18.98.33,CT18DVR007 DRIVE
10.18.98.220,CT18DVR008 PC
10.18.98.26,CT18DVR009 SELFCHECKOUT
10.18.98.25,CT18MSC001 MESA MONITORAMENTO
10.18.98.27,CT18ALM001 LOJA
10.18.98.28,CT18ALM002 POSTO
10.18.98.29,CT18ALM003 TESOURARIA COFRE
10.18.98.30,CT18ALM004 DRIVE
